Title,Text
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. Environmental Responsibility Report 2016 Progress Report , Covering Fiscal Year 2015 We designed a line of robots that can take apart up to 1.2 million phones a year . We call it Liam . 2 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Page 3 En vironmental Responsibility at Apple Page 5 C limate Change Page 16 R esources Page 24 S afer Materials Page 27 W e ’ re better together Page 28 A ppendix A A pple ’ s Operations : Environmental Data • Facilities Environmental Key Performance Indicators • Scopes 1 & 2 Building Carbon Emissions • FY2015 Natural Gas and Electricity Use Page 33 A ppendix B Data Center Energy Supplement Page 37 A ppendix C Assurance and Review Statements • Facilities energy , carbon , waste , and water data • Product life cycle carbon footprint • Paper footprint Page 47 A ppendix D Environmental Health and Safety Policy Statement Page 48 A ppendix E EMS Certification 3 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Environmental Responsibility at Apple We ’ re working to protect or create up to a million acres of responsibly managed forest . Our work is led by Lisa Jackson , Apple ’ s Vice President of Environment , Policy and Social Initiatives , reporting directly to CEO Tim Cook . The Office of Environment , Policy and Social Initiatives works with teams across Apple to set strategy , engage stakeholders , and com-municate progress . Our integrated approach means that decisions about Apple values , including environment , are reviewed and sup-ported at the highest levels of the company . Innovation is at the heart of everything we do at Apple , and that extends to our commitment to protecting the natural environment for the future . We believe our planet deserves our best thinking . So we ’ re constantly striving to find or invent solutions to important environmental challenges—whether it ’ s a line of robots that disassembles iPhone 6 for recycling , a vast network of solar panels on urban roof - tops to power our facilities in Singapore , or new product designs that eliminate harmful substances like beryllium . Apple ’ s 2016 Environmental Responsibility Report , covering fiscal year 2015 , is our ninth annual update , highlighting the progress we ’ ve made and the places we ’ re working"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. We believe our planet deserves our best thinking . So we ’ re constantly striving to find or invent solutions to important environmental challenges—whether it ’ s a line of robots that disassembles iPhone 6 for recycling , a vast network of solar panels on urban roof - tops to power our facilities in Singapore , or new product designs that eliminate harmful substances like beryllium . Apple ’ s 2016 Environmental Responsibility Report , covering fiscal year 2015 , is our ninth annual update , highlighting the progress we ’ ve made and the places we ’ re working hard to improve . Focus and simplify is one of our mantras . So , after deep reflection , data analysis , and conversations with stakeholders , we set three priorities where we believe Apple can make the most impact : • Reduce our impact on climate change by using renewable energy sources and driving energy efficiency in our products and facilities . • Conserve precious resources so we all can thrive . • Pioneer the use of safer materials in our products and processes . • This report details how we are approaching each of these priorities , and highlights some of our key accomplishments to date . For starters , as of January 2016 , we ’ re sourcing or generating enough renewable energy to cover 93 percent of the electricity we use at our facilities worldwide . In fact , Apple is now 100 percent renewable in 23 countries , including China , Germany , Singapore , and the United States . We ’ re also 100 percent renewable at every one of our data centers . So whenever you send an iMessage , download a song from iTunes , or ask Siri a question , the energy Apple uses doesn ’ t contribute to climate change . In the past five years , we have reduced the carbon footprint of Apple facilities by 64 percent thanks to our clean energy use , avoiding over 1 million metric tons of carbon emissions . We ’ re working hard to reach 100 percent renewable energy for all of our facilities worldwide , and help our suppliers in China and everywhere around the world make the same transition to clean energy as we have . 4 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015We ’ re as"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. energy Apple uses doesn ’ t contribute to climate change . In the past five years , we have reduced the carbon footprint of Apple facilities by 64 percent thanks to our clean energy use , avoiding over 1 million metric tons of carbon emissions . We ’ re working hard to reach 100 percent renewable energy for all of our facilities worldwide , and help our suppliers in China and everywhere around the world make the same transition to clean energy as we have . 4 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015We ’ re as committed as ever to conserving precious resources . In 2015 , we diverted more than 89 million pounds of e-waste from landfills . And more recently , we introduced Liam , a line of robots that can disassemble an iPhone every 1 1 seconds and sort its high-quality components so they can be recycled , reducing the need to mine those resources from the earth . It ’ s an experiment in recycling technology , and we hope this kind of thinking will inspire others . We ’ re also making strides in our efforts to preserve working forests , which , when managed properly , can be important renewable resources . Last year , over 99 percent of our product packaging came from paper that was recycled or sourced from sustainably managed forests . We ’ re also partnering with The Conservation Fund to protect sustain - ably managed working forests in the United States , and with World Wildlife Fund to transition forests into responsible management in China . For years , we ’ ve led the electronics industry in removing toxins such as arsenic , PVC , brominated flame retardants , and phthalates from our products . Many toxins are restricted not only in the products themselves but also in the manufacturing process , because we are committed to the people who make , use , and recycle our products . This past year , we started a Full Material Disclosure program , which will show us the chemical composition of every material in every component of our products so we can understand their effect on our health and on the environment . We are working every day to leave the world better than we found it . We know we have a long way to go"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. Many toxins are restricted not only in the products themselves but also in the manufacturing process , because we are committed to the people who make , use , and recycle our products . This past year , we started a Full Material Disclosure program , which will show us the chemical composition of every material in every component of our products so we can understand their effect on our health and on the environment . We are working every day to leave the world better than we found it . We know we have a long way to go , and a lot of work ahead of us . We are committed to increasing openness in our work and welcome you to join us on our journey . In February 2016 , we issued a US $ 1.5 billion green bond , the first ever by a U.S. tech company . The green bond proceeds are dedicated to financing environmental projects—because environmental respon - sibilit y is core to our business.1 . 5 billion 5 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015 Climate Change The Singapore solar project is the first distributed utility-scale installation in the country and is spread over hundreds of rooftops . Climate change is real . So is what we ’ re doing about it . In 2015 , 93 percent of our energy came from renewable sources . And we ’ re constantly looking for ways to get to 100 percent . In Singapore , we ’ re powering our facilities with a 32-megawatt solar project spread over more than 800 rooftops . In China , we ’ re adding 170 megawatts of solar to begin offsetting the energy used to make our products . And our data centers around the world run on 100 percent clean energy and power billions of iMessages , answers from Siri , and song downloads from iTunes . Carbon Footprint A more complex carbon footprint requires more inventive solutions . When we measure our carbon footprint , we include hundreds of suppliers , millions of customers , and hundreds of millions of devices . And we ’ re always looking for ways to make the biggest difference in five major areas : manufacturing , product use , facilities , transportation , and recycling . We design each generation of our products to be as energy"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. world run on 100 percent clean energy and power billions of iMessages , answers from Siri , and song downloads from iTunes . Carbon Footprint A more complex carbon footprint requires more inventive solutions . When we measure our carbon footprint , we include hundreds of suppliers , millions of customers , and hundreds of millions of devices . And we ’ re always looking for ways to make the biggest difference in five major areas : manufacturing , product use , facilities , transportation , and recycling . We design each generation of our products to be as energy efficient as possible . We ’ re sourcing lower-carbon materials to make our devices , and we ’ re partnering with suppliers to add clean energy to their facilities . We produce and procure clean , renewable energy to power 93 percent of our offices , retail stores , and data centers around the world , which has lowered emissions from our facilities to 1 percent of our comprehensive carbon footprint . We ’ re also adjusting our recycling practices and rethinking our shipping strategies.93 % Currently , 93 percent of our facilities worldwide run on renewable energy . CO2e Emissions per Product ( kg ) We ’ ve decreased carbon emissions per product every year sinc e 201 1.2010 201 1 201 2 201 3 201 4 201 5131.21 37.21 26.7 124.1122.1 1 14.2 6 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Our 201 5 carbon footprint 38,400,000 metric tons of greenhouse gas emissions 77 % Manufacturing1 7 % Product Usage1 % Facilities4 % Transportation1 % Recycling Manufacturing Manufacturing a smaller footprint . How we make our products is the largest piece of our carbon footprint . We ’ ve identified two areas where we can dramatically reduce our impact—raw materials production and electricity used in manufacturing . Partnering with suppliers to reduce emissions . The electricity we use in our supply chain to process raw materials , make parts , and assemble our products is the single biggest source of our carbon footprint—over 60 percent of our manufacturing emissions . So in 2015 , we created programs to help our partners around the world reduce their energy use , power their facilities with clean energy , and build high-quality renewable energy projects . We started engaging directly with suppliers in 2015 to assess their energy use"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. reduce our impact—raw materials production and electricity used in manufacturing . Partnering with suppliers to reduce emissions . The electricity we use in our supply chain to process raw materials , make parts , and assemble our products is the single biggest source of our carbon footprint—over 60 percent of our manufacturing emissions . So in 2015 , we created programs to help our partners around the world reduce their energy use , power their facilities with clean energy , and build high-quality renewable energy projects . We started engaging directly with suppliers in 2015 to assess their energy use with detailed energy audits . We work together to find ways to reduce energy use—replacing outdated or inefficient heating , cooling , and lighting systems ; repairing compressed air leaks ; and recovering waste heat . T hrough the process , we aim to promote continual improvement ; build technical capabilities ; and increase awareness of the environmental and financial benefits of energy efficiency . We conducted 13 energy audits at supplier facilities in China , Taiwan , and Japan last year , identifying more than US $ 32 million in annual savings opportunities . This corresponds to reductions of approximately 224 million kilowatt-hours of electricity and 269,000 million British thermal units of fuel . From these identified improvements , suppliers have already reduced over 18 million kilowatt-hours of electricity , avoiding 13,800 metric tons of carbon dioxide equivalents ( CO 2e ) .1 We are continuing to expand the program for even greater impact . Our efforts go beyond energy efficiency to spur the development and procurement of renewable energy within our supply chain . We ’ re building 200 megawatts of solar in China , starting with a 170-megawatt solar project in Inner Mongolia , to begin offsetting our manufacturing emissions . We ’ re also working with suppliers to install more than 4 gigawatts of new clean energy worldwide , including 2 gigawatts in China by 2020 . Our 4 gigawatts of clean energy projects will avoid over 30 million metric tons of carbon pollution , equivalent to taking over 6 million cars off the road for one year.2 7 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015The transition to renewable energy can be highly technical . It often requires compli - cated deal structures across many regions with their own regulatory requirements . Apple"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. our manufacturing emissions . We ’ re also working with suppliers to install more than 4 gigawatts of new clean energy worldwide , including 2 gigawatts in China by 2020 . Our 4 gigawatts of clean energy projects will avoid over 30 million metric tons of carbon pollution , equivalent to taking over 6 million cars off the road for one year.2 7 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015The transition to renewable energy can be highly technical . It often requires compli - cated deal structures across many regions with their own regulatory requirements . Apple is experienced in sourcing and building renewable energy—quickly and at a high standard across the globe—so we are working with our suppliers to help them overcome challenges . We know that , with some hard work and collaboration , suppliers can reduce their own carbon footprint through the development of high-quality and cost-effective renewable energy projects . As part of Apple ’ s industry-leading program , over the next two years , Foxconn will install 400 megawatts of solar to cover the energy use of its iPhone final production facility in Zhengzhou , China . Lowering our carbon emissions by focusing on aluminum . We sell millions and millions of phones . So making even small adjustments to the production of iPhone can have a big impact . We discovered that changing how we make the aluminum enclosure could lower our carbon footprint . We prioritized aluminum that was smelted using hydroelectricity rather than fossil fuels . And we reengineered our manufacturing process to reincorporate the scrap aluminum . As a result , we cut the carbon footprint associated with the aluminum enclosure of iPhone 6s in half compared with the previous generation . And we ’ re looking for new ways to use more carbon-efficient aluminum across all of our products . iPhone 6 iPhone 6s The carbon footprint of iPhone 6s aluminum enclosure is half that of the previous generation . 8 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Product Usage Your energy use is our energy use . All of the energy it takes to run your device—from the time you open the box to the day it ’ s recycled—is added to our carbon footprint . We even include the energy it takes to charge your device , which usually comes from carbon-intensive sources"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. new ways to use more carbon-efficient aluminum across all of our products . iPhone 6 iPhone 6s The carbon footprint of iPhone 6s aluminum enclosure is half that of the previous generation . 8 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Product Usage Your energy use is our energy use . All of the energy it takes to run your device—from the time you open the box to the day it ’ s recycled—is added to our carbon footprint . We even include the energy it takes to charge your device , which usually comes from carbon-intensive sources such as coal or gas . So we ’ re always developing new ways to make our products as efficient as possible . For example , the Mac operating system puts the hard drive to sleep and runs processors in an ultralow power mode when you ’ re not hard at work . It can even save energy when the screen is static and between keystrokes when you type . MacBook Air consumes 52 percent less energy than the original model . Mac mini consumes 40 percent less power when idle than the previous generation . Apple TV consumes 90 percent less energy than the first generation . And you can charge your iPhone 6s once a day for a year for only 53 cents.3 In fact , since 2008 we ’ ve reduced the average total power consumed by Apple products by 64 percent , bringing down our overall carbon footprint and your electricity bill at the same time.4 0.5 w Power consumed by the MacBook in sleep mode , the lowest of any Mac . 7x Mac mini exceeds ENERGY STAR requirements by up to seven times . 97 % The power used by the iMac in sleep mode was reduced 97 percent compared with the first-generation iMac . T he cost to charge the battery of an iPhone 6s once a day in the United States is 53¢ per year.3 9 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Go ahead , ask Siri all the questions you want . Every time you send an iMessage , make a FaceTime call , ask Siri a question , download a song , or share a photo , it takes energy . And we hold ourselves responsible for that energy , not you . We ’ re proud"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. mode was reduced 97 percent compared with the first-generation iMac . T he cost to charge the battery of an iPhone 6s once a day in the United States is 53¢ per year.3 9 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015Go ahead , ask Siri all the questions you want . Every time you send an iMessage , make a FaceTime call , ask Siri a question , download a song , or share a photo , it takes energy . And we hold ourselves responsible for that energy , not you . We ’ re proud to say that all those tasks are handled by Apple data servers running on 100 percent renewable energy . When we need a little extra juice , we work with third-party data centers . Even though we don ’ t own them , and share them with other companies , we still include them in our renewable energy goals . So we ’ re working with these providers to get them to 100 percent renewable energy , too . All told , in 2014 our data centers avoided 150,000 metric tons of CO 2e emissions . And in 2015 , that number grew to 187 ,000 metric tons . Facilities We use the power of the sun , wind , and water to power our lights , servers , and coffeemakers . We ’ re constantly finding ways to be more energy efficient and working toward our goal of covering 100 percent of the electricity use of our global facilities—data centers , corpo - rate offices , and more than 475 Apple Retail Stores—with 100 percent renewable energy . As of January 2016 , we ’ re at 93 percent worldwide . And in 23 countries , including the United States , the United Kingdom , China , and Australia , we ’ re at 100 percent . For exam - ple , we connected 40 megawatts of new solar energy to China ’ s national grid , producing more than enough electricity for all of Apple ’ s offices and retail stores in China . Apple is one of the largest end-users of solar power in the world . As of March 2016 , we have announced 521 megawatts of solar projects—the majority of these projects are Apple- owned , with 162 megawatts undertaken as part of Power Purchase"
NASDAQ_AAPL_2016,"This text comes from the document NASDAQ_AAPL_2016. States , the United Kingdom , China , and Australia , we ’ re at 100 percent . For exam - ple , we connected 40 megawatts of new solar energy to China ’ s national grid , producing more than enough electricity for all of Apple ’ s offices and retail stores in China . Apple is one of the largest end-users of solar power in the world . As of March 2016 , we have announced 521 megawatts of solar projects—the majority of these projects are Apple- owned , with 162 megawatts undertaken as part of Power Purchase Agreements.Our data centers run on 100 percent renewable energy . Which means every time you send an iMessage , download a song from iTunes , or ask Siri a question , the energy Apple uses doesn ’ t contribute to climate change . 10 Environmental Responsibility Report | 2016 Progress Report , Covering FY2015In fiscal year 2015 , by using renewable energy in Apple facilities , we avoided 335,000 metric tons of CO 2e emissions from entering the atmosphere , the equivalent of 359,828,142 pounds of coal not burned.2 Sourcing renewable landfill biogas to power our fuel cells avoided an additional 27 ,000 metrics tons of CO 2e in fiscal year 2015 . Altogether , since fiscal year 201 1 , we have reduced carbon emissions from Apple facilities by 64 percent—avoiding over 1 million metric tons of CO 2e from entering the atmosphere . Apple Scopes 1 & 2 Building Emissions * 050,000100,000150,000200,000250,000300,000350,000400,000450,000 FY11 FY12 FY13 FY14 * * FY15metric tons CO 2e equivalentAvoided Emissions Emissions prevented through Apple ’ s use of renewable energy Apple EmissionsNet emissions after accounting for Apple ’ s renewable energy program * Building emissions refers to emissions from natural gas and electricity at corporate offices , data centers , and retail stores . * * In fiscal year 2014 , Apple owned a facility in Mesa , AZ , that was operated by a supplier , which had default grid emissions of 151,279 tons CO 2e and effective emissions of 0 tons CO 2e due to the use of 100 percent renewable energy . It was removed from operation in fiscal year 2015 and is not shown on this chart . The cleanest energy is the energy you never use . We ’ ve made energy efficiency a priority across all of our"
