tic,conm,cik
AAL,AMERICAN AIRLINES GROUP INC,6201
PNW,PINNACLE WEST CAPITAL CORP,764622
ABT,ABBOTT LABORATORIES,1800
AMD,ADVANCED MICRO DEVICES,2488
APD,AIR PRODUCTS & CHEMICALS INC,2969
ALK,ALASKA AIR GROUP INC,766421
HON,HONEYWELL INTERNATIONAL INC,773840
SWKS,SKYWORKS SOLUTIONS INC,4127
HES,HESS CORP,4447
AEP,AMERICAN ELECTRIC POWER CO,4904
AXP,AMERICAN EXPRESS CO,4962
AFL,AFLAC INC,4977
AIG,AMERICAN INTERNATIONAL GROUP,5272
AME,AMETEK INC,1037868
AMGN,AMGEN INC,318154
ADI,ANALOG DEVICES INC,6281
APA,APA CORP,1841666
AAPL,APPLE INC,320193
AMAT,APPLIED MATERIALS INC,6951
ADM,ARCHER-DANIELS-MIDLAND CO,7084
ADSK,AUTODESK INC,769397
ADP,AUTOMATIC DATA PROCESSING,8670
AVY,AVERY DENNISON CORP,8818
BALL,BALL CORP,9389
BK,BANK OF NEW YORK MELLON CORP,1390777
BAX,BAXTER INTERNATIONAL INC,10456
BDX,BECTON DICKINSON & CO,10795
VZ,VERIZON COMMUNICATIONS INC,732712
BRK.B,BERKSHIRE HATHAWAY,1067983
BBY,BEST BUY CO INC,764478
BIO,BIO-RAD LABORATORIES INC,12208
BA,BOEING CO,12927
RHI,ROBERT HALF INC,315213
BMY,BRISTOL-MYERS SQUIBB CO,14272
BF.B,BROWN FORMAN CORP,14693
CI,CIGNA GROUP (THE),1739940
CSX,CSX CORP,277948
CPB,CAMPBELL SOUP CO,16732
STZ,CONSTELLATION BRANDS,16918
CAH,CARDINAL HEALTH INC,721371
CAT,CATERPILLAR INC,18230
JPM,JPMORGAN CHASE & CO,19617
CVX,CHEVRON CORP,93410
CHD,CHURCH & DWIGHT INC,313927
CTAS,CINTAS CORP,723254
CLX,CLOROX CO/DE,21076
KO,COCA-COLA CO,21344
CL,COLGATE-PALMOLIVE CO,21665
AON,AON PLC,315293
CMCSA,COMCAST CORP,1166691
CMA,COMERICA INC,28412
C,CITIGROUP INC,831001
CAG,CONAGRA BRANDS INC,23217
ED,CONSOLIDATED EDISON INC,1047862
CMS,CMS ENERGY CORP,811156
COO,COOPER COS INC (THE),711404
TAP,MOLSON COORS BEVERAGE CO,24545
GLW,CORNING INC,24741
CMI,CUMMINS INC,26172
DHR,DANAHER CORP,313616
TGT,TARGET CORP,27419
DE,DEERE & CO,315189
DAL,DELTA AIR LINES INC,27904
DTE,DTE ENERGY CO,936340
DIS,DISNEY (WALT) CO,1744489
DG,DOLLAR GENERAL CORP,29534
D,DOMINION ENERGY INC,715957
DOV,DOVER CORP,29905
DD,DUPONT DE NEMOURS INC,1666700
OMC,OMNICOM GROUP INC,29989
DUK,DUKE ENERGY CORP,1326160
RVTY,REVVITY INC,31791
ETN,EATON CORP PLC,1551182
ECL,ECOLAB INC,31462
EMR,EMERSON ELECTRIC CO,32604
ATO,ATMOS ENERGY CORP,731802
EFX,EQUIFAX INC,33185
EQT,EQT CORP,33213
EXPD,EXPEDITORS INTL WASH INC,746515
XOM,EXXON MOBIL CORP,34088
FMC,FMC CORP,37785
NEE,NEXTERA ENERGY INC,753308
FDX,FEDEX CORP,1048911
FRT,FEDERAL REALTY INVESTMENT TR,34903
FITB,FIFTH THIRD BANCORP,35527
RF,REGIONS FINANCIAL CORP,1281761
MTB,M & T BANK CORP,36270
USB,US BANCORP,36104
F,FORD MOTOR CO,37996
BEN,FRANKLIN RESOURCES INC,38777
AJG,ARTHUR J GALLAGHER & CO,354190
GD,GENERAL DYNAMICS CORP,40533
GE,GENERAL ELECTRIC CO,40545
GIS,GENERAL MILLS INC,40704
GM,GENERAL MOTORS CO,1467858
GPC,GENUINE PARTS CO,40987
GWW,GRAINGER (W W) INC,277135
HAL,HALLIBURTON CO,45012
LHX,L3HARRIS TECHNOLOGIES INC,202058
HAS,HASBRO INC,46080
WELL,WELLTOWER INC,766704
KHC,KRAFT HEINZ CO,1637459
HSY,HERSHEY CO,47111
HPQ,HP INC,47217
HLT,HILTON WORLDWIDE HOLDINGS,1585689
HD,HOME DEPOT INC,354950
HRL,HORMEL FOODS CORP,48465
CNP,CENTERPOINT ENERGY INC,1130310
HUBB,HUBBELL INC,48898
JBHT,HUNT (JB) TRANSPRT SVCS INC,728535
HBAN,HUNTINGTON BANCSHARES,49196
ITW,ILLINOIS TOOL WORKS,49826
TT,TRANE TECHNOLOGIES PLC,1466258
INTC,INTEL CORP,50863
IBM,INTL BUSINESS MACHINES CORP,51143
IFF,INTL FLAVORS & FRAGRANCES,51253
IP,INTL PAPER CO,51434
IPG,INTERPUBLIC GROUP OF COS,51644
J,JACOBS SOLUTIONS INC,52988
JNJ,JOHNSON & JOHNSON,200406
JCI,JOHNSON CONTROLS INTL PLC,833444
KLAC,KLA CORP,319201
KMI,KINDER MORGAN INC,1506307
EVRG,EVERGY INC,1711269
K,KELLANOVA,55067
KMB,KIMBERLY-CLARK CORP,55785
KR,KROGER CO,56873
LRCX,LAM RESEARCH CORP,707549
LEN,LENNAR CORP,920760
LLY,LILLY (ELI) & CO,59478
BBWI,BATH & BODY WORKS INC,701985
LMT,LOCKHEED MARTIN CORP,936468
